,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y,MAE,MSE,RMS,Departamento,aux_1,aux_2,yearly,yearly_lower,yearly_upper
0,2015-05-10,2203.2282300126667,496.5832503636945,3003.526745883454,2203.2282300126667,2203.2282300126667,-433.814510238761,-433.814510238761,-433.814510238761,-433.814510238761,-433.814510238761,-433.814510238761,0.0,0.0,0.0,1769.4137197739058,70,663.2527517170491,628654.3706794736,792.877273403314,ANTIOQUIA,0,1,,,
1,2015-07-09,2063.827720243448,-609.2169899693209,1946.6483887946288,2063.827720243448,2063.827720243448,-1406.1681021713741,-1406.1681021713741,-1406.1681021713741,-1406.1681021713741,-1406.1681021713741,-1406.1681021713741,0.0,0.0,0.0,657.6596180720737,9,663.2527517170491,628654.3706794736,792.877273403314,ANTIOQUIA,0,1,,,
2,2015-09-11,1915.1338431562806,399.5437912361843,3120.3515765210013,1915.1338431562806,1915.1338431562806,-93.03359777897408,-93.03359777897408,-93.03359777897408,-93.03359777897408,-93.03359777897408,-93.03359777897408,0.0,0.0,0.0,1822.1002453773065,567,663.2527517170491,628654.3706794736,792.877273403314,ANTIOQUIA,0,1,,,
3,2015-09-14,1908.1638176652402,303.5194244258563,2766.51392255489,1908.1638176652402,1908.1638176652402,-355.8678778855156,-355.8678778855156,-355.8678778855156,-355.8678778855156,-355.8678778855156,-355.8678778855156,0.0,0.0,0.0,1552.2959397797247,18,663.2527517170491,628654.3706794736,792.877273403314,ANTIOQUIA,0,1,,,
4,2015-09-21,1891.9004248528133,328.1153477523632,2749.3726380735147,1891.9004248528133,1891.9004248528133,-355.8678778845136,-355.8678778845136,-355.8678778845136,-355.8678778845136,-355.8678778845136,-355.8678778845136,0.0,0.0,0.0,1536.0325469682998,31,663.2527517170491,628654.3706794736,792.877273403314,ANTIOQUIA,0,1,,,
5,2015-09-28,1875.637032040386,251.5930521235661,2832.851188316262,1875.637032040386,1875.637032040386,-355.8678778876491,-355.8678778876491,-355.8678778876491,-355.8678778876491,-355.8678778876491,-355.8678778876491,0.0,0.0,0.0,1519.769154152737,85,663.2527517170491,628654.3706794736,792.877273403314,ANTIOQUIA,0,1,,,
6,2015-10-19,1826.846853625497,237.91314351534155,2735.2027692210218,1826.846853625497,1826.846853625497,-355.8678778824444,-355.8678778824444,-355.8678778824444,-355.8678778824444,-355.8678778824444,-355.8678778824444,0.0,0.0,0.0,1470.9789757430526,199,663.2527517170491,628654.3706794736,792.877273403314,ANTIOQUIA,0,1,,,
7,2015-10-26,1810.5834608205337,199.57870400137807,2720.6081292258305,1810.5834608205337,1810.5834608205337,-355.8678778855799,-355.8678778855799,-355.8678778855799,-355.8678778855799,-355.8678778855799,-355.8678778855799,0.0,0.0,0.0,1454.7155829349538,239,663.2527517170491,628654.3706794736,792.877273403314,ANTIOQUIA,0,1,,,
8,2015-11-16,1761.793282428534,241.2743729079125,2704.3059855325555,1761.793282428534,1761.793282428534,-355.8678778886499,-355.8678778886499,-355.8678778886499,-355.8678778886499,-355.8678778886499,-355.8678778886499,0.0,0.0,0.0,1405.925404539884,487,663.2527517170491,628654.3706794736,792.877273403314,ANTIOQUIA,0,1,,,
9,2015-11-30,1729.2664968338674,120.14675131097508,2653.738162835151,1729.2664968338674,1729.2664968338674,-355.86787788664617,-355.86787788664617,-355.86787788664617,-355.86787788664617,-355.86787788664617,-355.86787788664617,0.0,0.0,0.0,1373.3986189472212,611,663.2527517170491,628654.3706794736,792.877273403314,ANTIOQUIA,0,1,,,
10,2015-12-10,1706.0330785669485,-989.4764154001396,1516.7320938412363,1706.0330785669485,1706.0330785669485,-1406.168102169344,-1406.168102169344,-1406.168102169344,-1406.168102169344,-1406.168102169344,-1406.168102169344,0.0,0.0,0.0,299.86497639760455,86,663.2527517170491,628654.3706794736,792.877273403314,ANTIOQUIA,0,1,,,
11,2015-12-14,1696.739711260181,79.70514870639487,2513.1005765955692,1696.739711260181,1696.739711260181,-355.86787788658074,-355.86787788658074,-355.86787788658074,-355.86787788658074,-355.86787788658074,-355.86787788658074,0.0,0.0,0.0,1340.8718333736,947,663.2527517170491,628654.3706794736,792.877273403314,ANTIOQUIA,0,1,,,
12,2015-12-21,1680.4763184733374,99.93008679012509,2510.5804299506726,1680.4763184733374,1680.4763184733374,-355.86787788337995,-355.86787788337995,-355.86787788337995,-355.86787788337995,-355.86787788337995,-355.86787788337995,0.0,0.0,0.0,1324.6084405899574,727,663.2527517170491,628654.3706794736,792.877273403314,ANTIOQUIA,0,1,,,
13,2015-12-28,1664.2129256943722,80.27458647917173,2662.020457994393,1664.2129256943722,1664.2129256943722,-355.86787788457707,-355.86787788457707,-355.86787788457707,-355.86787788457707,-355.86787788457707,-355.86787788457707,0.0,0.0,0.0,1308.3450478097952,713,663.2527517170491,628654.3706794736,792.877273403314,ANTIOQUIA,0,1,,,
14,2016-01-02,1652.5962165665399,1355.875603485662,3894.332657711428,1652.5962165665399,1652.5962165665399,963.0694070965593,963.0694070965593,963.0694070965593,963.0694070965593,963.0694070965593,963.0694070965593,0.0,0.0,0.0,2615.6656236630993,4201,663.2527517170491,628654.3706794736,792.877273403314,ANTIOQUIA,0,1,,,
15,2016-01-08,1638.6561656123442,192.41671734117608,2850.9142553815636,1638.6561656123442,1638.6561656123442,-93.0335977785428,-93.0335977785428,-93.0335977785428,-93.0335977785428,-93.0335977785428,-93.0335977785428,0.0,0.0,0.0,1545.6225678338014,331,663.2527517170491,628654.3706794736,792.877273403314,ANTIOQUIA,0,1,,,
16,2016-01-18,1615.4227473553508,-55.93815861422297,2569.7911510784133,1615.422747355351,1615.422747355351,-355.86787788350966,-355.86787788350966,-355.86787788350966,-355.86787788350966,-355.86787788350966,-355.86787788350966,0.0,0.0,0.0,1259.5548694718411,3237,663.2527517170491,628654.3706794736,792.877273403314,ANTIOQUIA,0,1,,,
17,2016-01-25,1599.1593545510812,-20.953600304441018,2551.402284991942,1599.1593545510812,1599.1593545510812,-355.8678778866451,-355.8678778866451,-355.8678778866451,-355.8678778866451,-355.8678778866451,-355.8678778866451,0.0,0.0,0.0,1243.291476664436,4120,663.2527517170491,628654.3706794736,792.877273403314,ANTIOQUIA,0,1,,,
18,2016-02-05,1573.602594430086,260.29883267173153,2847.0828078461464,1573.602594430086,1573.602594430086,-93.03359778618174,-93.03359778618174,-93.03359778618174,-93.03359778618174,-93.03359778618174,-93.03359778618174,0.0,0.0,0.0,1480.5689966439043,2087,663.2527517170491,628654.3706794736,792.877273403314,ANTIOQUIA,0,1,,,
19,2016-02-15,1550.369176138272,-110.18237097879997,2480.6203547603764,1550.369176138272,1550.369176138272,-355.86787788144073,-355.86787788144073,-355.86787788144073,-355.86787788144073,-355.86787788144073,-355.86787788144073,0.0,0.0,0.0,1194.5012982568312,3180,663.2527517170491,628654.3706794736,792.877273403314,ANTIOQUIA,0,1,,,
20,2016-02-22,1534.1057833332388,-85.44941923618175,2465.9153841748694,1534.1057833332388,1534.1057833332388,-355.8678778887132,-355.8678778887132,-355.8678778887132,-355.8678778887132,-355.8678778887132,-355.8678778887132,0.0,0.0,0.0,1178.2379054445255,2619,663.2527517170491,628654.3706794736,792.877273403314,ANTIOQUIA,0,1,,,
21,2016-02-29,1517.8423905282057,-161.781039746705,2408.0978863819314,1517.8423905282057,1517.8423905282057,-355.8678778855124,-355.8678778855124,-355.8678778855124,-355.8678778855124,-355.8678778855124,-355.8678778855124,0.0,0.0,0.0,1161.9745126426933,2606,663.2527517170491,628654.3706794736,792.877273403314,ANTIOQUIA,0,1,,,
22,2016-03-10,1494.6089721726473,-1241.4735481049447,1349.0176186365443,1494.6089721726473,1494.6089721726473,-1406.1681021694878,-1406.1681021694878,-1406.1681021694878,-1406.1681021694878,-1406.1681021694878,-1406.1681021694878,0.0,0.0,0.0,88.44087000315949,90,663.2527517170491,628654.3706794736,792.877273403314,ANTIOQUIA,0,1,,,
